Symbol,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size,ETF,NextShares,Saved
AIQ,Global X Artificial Intelligence & Technology ETF,G,N,N,100,Y,N,True
AIRG,"Airgain, Inc. - Common Stock",S,N,N,100,N,N,True
AIRR,First Trust RBA American Industrial Renaissance ETF,G,N,N,100,Y,N,True
AIRT,"Air T, Inc. - Common Stock",G,N,N,100,N,N,True
AIRTP,"Air T, Inc. - Trust Preferred Securities",G,N,N,100,N,N,True
AIRTW,"Air T, Inc. - Air T Funding Warrants to Purchase Trust Preferred",G,N,N,100,N,N,True
AKAM,"Akamai Technologies, Inc. - Common Stock",Q,N,N,100,N,N,True
AKBA,"Akebia Therapeutics, Inc. - Common Stock",G,N,N,100,N,N,True
AKIC,Sports Ventures Acquisition Corp. - Class A Ordinary Shares,S,N,N,100,N,N,True
AKICU,Sports Ventures Acquisition Corp. - Unit,S,N,N,100,N,N,True
AKICW,Sports Ventures Acquisition Corp. - Warrant,S,N,N,100,N,N,True
AKRO,"Akero Therapeutics, Inc. - Common Stock",Q,N,N,100,N,N,True
AKTS,"Akoustis Technologies, Inc. - Common Stock",S,N,N,100,N,N,True
AKTX,Akari Therapeutics Plc - American Depositary Shares,S,N,N,100,N,N,True
AKU,Akumin Inc. - Common Shares,S,N,N,100,N,N,True
AKUS,"Akouos, Inc. - Common Stock",Q,N,N,100,N,N,True
AKYA,"Akoya BioSciences, Inc. - Common Stock",Q,N,N,100,N,N,True
ALAC,Alberton Acquisition Corporation - Ordinary Shares,S,N,N,100,N,N,True
ALACR,Alberton Acquisition Corporation - Rights,S,N,N,100,N,N,True
ALACU,Alberton Acquisition Corporation - Unit,S,N,N,100,N,N,True
ALACW,Alberton Acquisition Corporation - Warrant,S,N,N,100,N,N,True
ALBO,"Albireo Pharma, Inc. - Common Stock",S,N,N,100,N,N,True
ALCO,"Alico, Inc. - Common Stock",Q,N,N,100,N,N,True
ALDX,"Aldeyra Therapeutics, Inc. - Common Stock",S,N,N,100,N,N,True
ALEC,"Alector, Inc. - Common Stock",Q,N,N,100,N,N,True
ALF,"ALFI, Inc. - Common Stock",S,N,N,100,N,N,True
ALFIW,"ALFI, Inc. - Warrant",S,N,N,100,N,N,True
ALGM,"Allegro MicroSystems, Inc. - Common Stock",Q,N,N,100,N,N,True
ALGN,"Align Technology, Inc. - Common Stock",Q,N,N,100,N,N,True
ALGS,"Aligos Therapeutics, Inc. - Common stock",Q,N,N,100,N,N,True
ALGT,Allegiant Travel Company - Common Stock,Q,N,N,100,N,N,True
ALHC,"Alignment Healthcare, Inc. - Common Stock",Q,N,N,100,N,N,True
ALIM,"Alimera Sciences, Inc. - Common Stock",G,N,N,100,N,N,True
ALJJ,"ALJ Regional Holdings, Inc. - Common Stock",G,N,N,100,N,N,True
ALKS,Alkermes plc - Ordinary Shares,Q,N,N,100,N,N,True
ALKT,"Alkami Technology, Inc. - Common Stock",Q,N,N,100,N,N,True
ALLK,Allakos Inc. - Common Stock,Q,N,N,100,N,N,True
ALLO,"Allogene Therapeutics, Inc. - Common Stock",Q,N,N,100,N,N,True
ALLT,Allot Ltd. - Ordinary Shares,Q,N,N,100,N,N,True
ALNA,"Allena Pharmaceuticals, Inc. - Common Stock",Q,N,N,100,N,N,True
ALNY,"Alnylam Pharmaceuticals, Inc. - Common Stock",Q,N,N,100,N,N,True
ALOT,"AstroNova, Inc. - Common Stock",G,N,N,100,N,N,True
ALPAU,Alpha Healthcare Acquisition Corp. III - Units,S,N,N,100,N,N,True
ALPN,"Alpine Immune Sciences, Inc. - Common Stock",G,N,N,100,N,N,True
ALRM,"Alarm.com Holdings, Inc. - Common Stock",Q,N,N,100,N,N,True
ALRN,"Aileron Therapeutics, Inc. - Common Stock",S,N,N,100,N,N,True
ALRS,Alerus Financial Corporation - Common Stock,S,N,N,100,N,N,True
ALT,"Altimmune, Inc. - Common Stock",G,N,N,100,N,N,True
ALTA,Altabancorp - Common Stock,S,N,N,100,N,N,True
ALTM,Altus Midstream Company - Class A Common Stock,G,N,N,100,N,N,True
ALTO,"Alto Ingredients, Inc. - Common Stock",S,N,N,100,N,N,True
ALTR,Altair Engineering Inc. - Class A Common Stock,Q,N,N,100,N,N,True
ALTU,Altitude Acquisition Corp. - Class A Common Stock,S,N,N,100,N,N,True
ALTUU,Altitude Acquisition Corp. - Unit,S,N,N,100,N,N,True
ALTUW,Altitude Acquisition Corp. - Warrant,S,N,N,100,N,N,True
ALTY,Global X SuperDividend Alternatives ETF,G,N,N,100,Y,N,True
ALVR,"AlloVir, Inc. - Common Stock",Q,N,N,100,N,N,True
ALXO,ALX Oncology Holdings Inc. - Common Stock,Q,N,N,100,N,N,True
ALYA,Alithya Group inc. - Class A subordinate voting shares,S,N,N,100,N,N,True
ALZN,"Alzamend Neuro, Inc. - Common Stock",S,N,N,100,N,N,True
AMAL,Amalgamated Financial Corp. - Common Stock,G,N,N,100,N,N,True
AMAO,American Acquisition Opportunity Inc. - Class A Common Stock,S,N,N,100,N,N,True
AMAOU,American Acquisition Opportunity Inc. - Units,S,N,N,100,N,N,True
AMAOW,American Acquisition Opportunity Inc. - Warrant,S,N,N,100,N,N,True
AMAT,"Applied Materials, Inc. - Common Stock",Q,N,N,100,N,N,True
AMBA,"Ambarella, Inc. - Ordinary Shares",Q,N,N,100,N,N,True
AMCA,iShares Russell 1000 Pure U.S. Revenue ETF,G,N,N,100,Y,N,True
AMCIU,AMCI Acquisition Corp. II - Units,S,N,N,100,N,N,True
